mode: set
goldbox-rpg/pkg/game/character.go:72.40,99.38 4 0
goldbox-rpg/pkg/game/character.go:99.38,101.3 1 0
goldbox-rpg/pkg/game/character.go:104.2,109.14 3 0
goldbox-rpg/pkg/game/character.go:120.37,122.2 1 0
goldbox-rpg/pkg/game/character.go:132.39,135.2 1 0
goldbox-rpg/pkg/game/character.go:150.43,153.14 2 0
goldbox-rpg/pkg/game/character.go:153.14,155.3 1 0
goldbox-rpg/pkg/game/character.go:157.2,157.20 1 0
goldbox-rpg/pkg/game/character.go:157.20,159.3 1 0
goldbox-rpg/pkg/game/character.go:167.36,171.2 3 0
goldbox-rpg/pkg/game/character.go:182.38,186.2 3 0
goldbox-rpg/pkg/game/character.go:196.45,200.2 3 0
goldbox-rpg/pkg/game/character.go:207.44,211.2 3 0
goldbox-rpg/pkg/game/character.go:229.53,234.27 3 0
goldbox-rpg/pkg/game/character.go:234.27,236.3 1 0
goldbox-rpg/pkg/game/character.go:238.2,239.12 2 0
goldbox-rpg/pkg/game/character.go:249.37,253.2 3 0
goldbox-rpg/pkg/game/character.go:267.44,271.2 3 0
goldbox-rpg/pkg/game/character.go:287.40,291.2 3 0
goldbox-rpg/pkg/game/character.go:305.46,309.2 3 0
goldbox-rpg/pkg/game/character.go:323.49,327.2 3 0
goldbox-rpg/pkg/game/character_creation.go:88.46,102.2 4 1
goldbox-rpg/pkg/game/character_creation.go:122.101,133.50 2 1
goldbox-rpg/pkg/game/character_creation.go:133.50,136.3 2 1
goldbox-rpg/pkg/game/character_creation.go:139.2,140.16 2 1
goldbox-rpg/pkg/game/character_creation.go:140.16,143.3 2 0
goldbox-rpg/pkg/game/character_creation.go:146.2,146.79 1 1
goldbox-rpg/pkg/game/character_creation.go:146.79,149.3 2 1
goldbox-rpg/pkg/game/character_creation.go:152.2,174.30 3 1
goldbox-rpg/pkg/game/character_creation.go:174.30,178.3 3 1
goldbox-rpg/pkg/game/character_creation.go:181.2,195.15 6 1
goldbox-rpg/pkg/game/character_creation.go:213.104,216.32 2 1
goldbox-rpg/pkg/game/character_creation.go:217.14,223.46 6 1
goldbox-rpg/pkg/game/character_creation.go:225.18,226.41 1 1
goldbox-rpg/pkg/game/character_creation.go:228.18,231.39 3 1
goldbox-rpg/pkg/game/character_creation.go:231.39,233.4 1 1
goldbox-rpg/pkg/game/character_creation.go:235.16,236.37 1 1
goldbox-rpg/pkg/game/character_creation.go:236.37,238.4 1 0
goldbox-rpg/pkg/game/character_creation.go:239.3,239.51 1 1
goldbox-rpg/pkg/game/character_creation.go:239.51,240.31 1 1
goldbox-rpg/pkg/game/character_creation.go:240.31,242.5 1 0
goldbox-rpg/pkg/game/character_creation.go:243.4,243.27 1 1
goldbox-rpg/pkg/game/character_creation.go:246.10,247.81 1 0
goldbox-rpg/pkg/game/character_creation.go:250.2,250.24 1 1
goldbox-rpg/pkg/game/character_creation.go:258.49,260.25 2 1
goldbox-rpg/pkg/game/character_creation.go:260.25,262.3 1 1
goldbox-rpg/pkg/game/character_creation.go:265.2,267.25 3 1
goldbox-rpg/pkg/game/character_creation.go:267.25,268.26 1 1
goldbox-rpg/pkg/game/character_creation.go:268.26,271.4 2 1
goldbox-rpg/pkg/game/character_creation.go:274.2,275.25 2 1
goldbox-rpg/pkg/game/character_creation.go:275.25,276.20 1 1
goldbox-rpg/pkg/game/character_creation.go:276.20,278.4 1 1
goldbox-rpg/pkg/game/character_creation.go:281.2,281.14 1 1
goldbox-rpg/pkg/game/character_creation.go:290.82,304.53 4 1
goldbox-rpg/pkg/game/character_creation.go:304.53,308.32 3 1
goldbox-rpg/pkg/game/character_creation.go:308.32,310.34 2 1
goldbox-rpg/pkg/game/character_creation.go:310.34,312.5 1 1
goldbox-rpg/pkg/game/character_creation.go:314.4,314.36 1 1
goldbox-rpg/pkg/game/character_creation.go:314.36,317.5 2 1
goldbox-rpg/pkg/game/character_creation.go:317.10,320.5 1 0
goldbox-rpg/pkg/game/character_creation.go:321.9,324.4 1 0
goldbox-rpg/pkg/game/character_creation.go:327.2,327.24 1 1
goldbox-rpg/pkg/game/character_creation.go:337.82,338.23 1 1
goldbox-rpg/pkg/game/character_creation.go:338.23,340.3 1 1
goldbox-rpg/pkg/game/character_creation.go:342.2,342.27 1 1
goldbox-rpg/pkg/game/character_creation.go:342.27,344.3 1 1
goldbox-rpg/pkg/game/character_creation.go:346.2,353.43 2 1
goldbox-rpg/pkg/game/character_creation.go:353.43,355.3 1 1
goldbox-rpg/pkg/game/character_creation.go:357.2,357.12 1 1
goldbox-rpg/pkg/game/character_creation.go:368.110,370.13 2 1
goldbox-rpg/pkg/game/character_creation.go:370.13,372.3 1 0
goldbox-rpg/pkg/game/character_creation.go:374.2,374.62 1 1
goldbox-rpg/pkg/game/character_creation.go:374.62,377.3 1 1
goldbox-rpg/pkg/game/character_creation.go:379.2,379.63 1 1
goldbox-rpg/pkg/game/character_creation.go:379.63,382.3 1 1
goldbox-rpg/pkg/game/character_creation.go:384.2,384.66 1 1
goldbox-rpg/pkg/game/character_creation.go:384.66,387.3 1 0
goldbox-rpg/pkg/game/character_creation.go:389.2,389.66 1 1
goldbox-rpg/pkg/game/character_creation.go:389.66,392.3 1 0
goldbox-rpg/pkg/game/character_creation.go:394.2,394.60 1 1
goldbox-rpg/pkg/game/character_creation.go:394.60,397.3 1 0
goldbox-rpg/pkg/game/character_creation.go:399.2,399.62 1 1
goldbox-rpg/pkg/game/character_creation.go:399.62,402.3 1 0
goldbox-rpg/pkg/game/character_creation.go:404.2,404.12 1 1
goldbox-rpg/pkg/game/character_creation.go:412.95,433.2 7 1
goldbox-rpg/pkg/game/character_creation.go:442.79,445.15 2 1
goldbox-rpg/pkg/game/character_creation.go:446.20,448.66 2 1
goldbox-rpg/pkg/game/character_creation.go:449.17,451.8 1 1
goldbox-rpg/pkg/game/character_creation.go:452.19,453.66 1 0
goldbox-rpg/pkg/game/character_creation.go:454.18,455.70 1 1
goldbox-rpg/pkg/game/character_creation.go:456.19,458.66 2 0
goldbox-rpg/pkg/game/character_creation.go:459.20,461.66 2 0
goldbox-rpg/pkg/game/character_creation.go:464.2,464.18 1 1
goldbox-rpg/pkg/game/character_creation.go:468.61,570.2 6 1
goldbox-rpg/pkg/game/character_creation.go:573.54,592.2 2 1
goldbox-rpg/pkg/game/classes.go:39.42,48.2 1 1
goldbox-rpg/pkg/game/default_world.go:12.34,26.36 3 0
goldbox-rpg/pkg/game/default_world.go:26.36,28.36 2 0
goldbox-rpg/pkg/game/default_world.go:28.36,30.69 1 0
goldbox-rpg/pkg/game/default_world.go:30.69,40.5 1 0
goldbox-rpg/pkg/game/default_world.go:40.10,51.5 1 0
goldbox-rpg/pkg/game/default_world.go:56.2,61.14 2 0
goldbox-rpg/pkg/game/effectbehavior.go:48.45,50.2 1 0
goldbox-rpg/pkg/game/effectbehavior.go:52.83,64.2 1 0
goldbox-rpg/pkg/game/effectbehavior.go:84.84,96.2 1 0
goldbox-rpg/pkg/game/effectbehavior.go:116.85,128.2 1 0
goldbox-rpg/pkg/game/effectbehavior.go:152.54,153.16 1 0
goldbox-rpg/pkg/game/effectbehavior.go:154.51,161.10 1 0
goldbox-rpg/pkg/game/effectbehavior.go:162.10,163.20 1 0
goldbox-rpg/pkg/game/effectbehavior.go:190.91,191.44 1 0
goldbox-rpg/pkg/game/effectbehavior.go:191.44,193.3 1 0
goldbox-rpg/pkg/game/effectbehavior.go:196.2,205.28 4 0
goldbox-rpg/pkg/game/effectbehavior.go:206.21,207.34 1 0
goldbox-rpg/pkg/game/effectbehavior.go:208.22,209.29 1 0
goldbox-rpg/pkg/game/effectbehavior.go:210.20,211.27 1 0
goldbox-rpg/pkg/game/effectbehavior.go:212.28,212.28 0 0
goldbox-rpg/pkg/game/effectbehavior.go:213.26,213.26 0 0
goldbox-rpg/pkg/game/effectbehavior.go:214.18,214.18 0 0
goldbox-rpg/pkg/game/effectbehavior.go:215.23,215.23 0 0
goldbox-rpg/pkg/game/effectbehavior.go:216.25,216.25 0 0
goldbox-rpg/pkg/game/effectbehavior.go:217.18,217.18 0 0
goldbox-rpg/pkg/game/effectbehavior.go:218.10,219.76 1 0
goldbox-rpg/pkg/game/effectbehavior.go:244.106,257.2 6 0
goldbox-rpg/pkg/game/effectbehavior.go:279.81,281.17 1 0
goldbox-rpg/pkg/game/effectbehavior.go:282.18,283.39 1 0
goldbox-rpg/pkg/game/effectbehavior.go:284.20,285.38 1 0
goldbox-rpg/pkg/game/effectbehavior.go:286.10,287.11 1 0
goldbox-rpg/pkg/game/effectbehavior.go:307.62,311.2 3 0
goldbox-rpg/pkg/game/effectbehavior.go:326.65,329.2 1 0
goldbox-rpg/pkg/game/effectbehavior.go:352.60,353.52 1 0
goldbox-rpg/pkg/game/effectbehavior.go:353.52,356.3 2 0
goldbox-rpg/pkg/game/effectbehavior.go:359.2,359.21 1 0
goldbox-rpg/pkg/game/effectbehavior.go:360.28,361.70 1 0
goldbox-rpg/pkg/game/effectbehavior.go:362.26,364.30 2 0
goldbox-rpg/pkg/game/effectbehavior.go:364.30,366.4 1 0
goldbox-rpg/pkg/game/effectbehavior.go:367.3,370.4 1 0
goldbox-rpg/pkg/game/effectbehavior.go:371.22,371.22 0 0
goldbox-rpg/pkg/game/effectbehavior.go:372.21,372.21 0 0
goldbox-rpg/pkg/game/effectbehavior.go:373.20,373.20 0 0
goldbox-rpg/pkg/game/effectbehavior.go:374.18,374.18 0 0
goldbox-rpg/pkg/game/effectbehavior.go:375.23,375.23 0 0
goldbox-rpg/pkg/game/effectbehavior.go:376.25,376.25 0 0
goldbox-rpg/pkg/game/effectbehavior.go:377.18,377.18 0 0
goldbox-rpg/pkg/game/effectbehavior.go:378.10,379.69 1 0
goldbox-rpg/pkg/game/effectimmunity.go:23.56,31.2 1 0
goldbox-rpg/pkg/game/effectimmunity.go:50.84,54.27 3 0
goldbox-rpg/pkg/game/effectimmunity.go:54.27,57.3 2 0
goldbox-rpg/pkg/game/effectimmunity.go:57.8,59.3 1 0
goldbox-rpg/pkg/game/effectimmunity.go:86.77,91.63 3 0
goldbox-rpg/pkg/game/effectimmunity.go:91.63,92.44 1 0
goldbox-rpg/pkg/game/effectimmunity.go:92.44,94.4 1 0
goldbox-rpg/pkg/game/effectimmunity.go:96.3,96.40 1 0
goldbox-rpg/pkg/game/effectimmunity.go:100.2,100.59 1 0
goldbox-rpg/pkg/game/effectimmunity.go:100.59,102.3 1 0
goldbox-rpg/pkg/game/effectimmunity.go:104.2,109.3 1 0
goldbox-rpg/pkg/game/effectimmunity.go:132.83,145.43 5 0
goldbox-rpg/pkg/game/effectimmunity.go:145.43,146.35 1 0
goldbox-rpg/pkg/game/effectimmunity.go:146.35,147.12 1 0
goldbox-rpg/pkg/game/effectimmunity.go:150.3,150.49 1 0
goldbox-rpg/pkg/game/effectimmunity.go:150.49,151.54 1 0
goldbox-rpg/pkg/game/effectimmunity.go:151.54,157.10 2 0
goldbox-rpg/pkg/game/effectimmunity.go:163.2,163.45 1 0
goldbox-rpg/pkg/game/effectimmunity.go:163.45,165.3 1 0
goldbox-rpg/pkg/game/effectimmunity.go:168.2,169.52 2 0
goldbox-rpg/pkg/game/effectimmunity.go:169.52,172.3 2 0
goldbox-rpg/pkg/game/effectimmunity.go:174.2,174.22 1 0
goldbox-rpg/pkg/game/effectimmunity.go:174.22,176.3 1 0
goldbox-rpg/pkg/game/effectimmunity.go:178.2,178.16 1 0
goldbox-rpg/pkg/game/effectimmunity.go:199.118,203.2 3 0
goldbox-rpg/pkg/game/effectimmunity.go:222.93,230.2 3 0
goldbox-rpg/pkg/game/effectimmunity.go:249.60,252.23 2 0
goldbox-rpg/pkg/game/effectimmunity.go:253.24,254.67 1 0
goldbox-rpg/pkg/game/effectimmunity.go:256.23,258.40 1 0
goldbox-rpg/pkg/game/effectimmunity.go:260.23,261.48 1 0
goldbox-rpg/pkg/game/effectimmunity.go:262.20,262.20 0 0
goldbox-rpg/pkg/game/effectimmunity.go:263.10,264.73 1 0
goldbox-rpg/pkg/game/effectimmunity.go:268.2,268.39 1 0
goldbox-rpg/pkg/game/effectimmunity.go:292.28,318.2 7 0
goldbox-rpg/pkg/game/effectmanager.go:85.31,97.2 1 0
goldbox-rpg/pkg/game/effectmanager.go:116.62,120.58 3 0
goldbox-rpg/pkg/game/effectmanager.go:120.58,125.3 4 0
goldbox-rpg/pkg/game/effectmanager.go:126.2,126.53 1 0
goldbox-rpg/pkg/game/effectmanager.go:146.63,152.43 4 0
goldbox-rpg/pkg/game/effectmanager.go:152.43,154.36 1 0
goldbox-rpg/pkg/game/effectmanager.go:154.36,157.12 3 0
goldbox-rpg/pkg/game/effectmanager.go:161.3,161.37 1 0
goldbox-rpg/pkg/game/effectmanager.go:161.37,163.4 1 0
goldbox-rpg/pkg/game/effectmanager.go:166.2,166.17 1 0
goldbox-rpg/pkg/game/effectmanager.go:166.17,168.3 1 0
goldbox-rpg/pkg/game/effectmanager.go:185.45,194.42 5 0
goldbox-rpg/pkg/game/effectmanager.go:194.42,197.40 2 0
goldbox-rpg/pkg/game/effectmanager.go:197.40,198.25 1 0
goldbox-rpg/pkg/game/effectmanager.go:199.16,200.47 1 0
goldbox-rpg/pkg/game/effectmanager.go:201.21,202.76 1 0
goldbox-rpg/pkg/game/effectmanager.go:203.16,204.77 1 0
goldbox-rpg/pkg/game/effectmanager.go:204.77,206.6 1 0
goldbox-rpg/pkg/game/effectmanager.go:212.2,214.28 2 0
goldbox-rpg/pkg/game/effectmanager.go:233.106,235.55 1 0
goldbox-rpg/pkg/game/effectmanager.go:235.55,236.39 1 0
goldbox-rpg/pkg/game/effectmanager.go:236.39,238.4 1 0
goldbox-rpg/pkg/game/effectmanager.go:239.3,239.41 1 0
goldbox-rpg/pkg/game/effectmanager.go:239.41,241.4 1 0
goldbox-rpg/pkg/game/effectmanager.go:242.3,242.39 1 0
goldbox-rpg/pkg/game/effectmanager.go:242.39,244.4 1 0
goldbox-rpg/pkg/game/effectmanager.go:248.2,252.48 5 0
goldbox-rpg/pkg/game/effectmanager.go:269.32,281.2 1 0
goldbox-rpg/pkg/game/effectmanager.go:294.32,295.11 1 0
goldbox-rpg/pkg/game/effectmanager.go:295.11,297.3 1 0
goldbox-rpg/pkg/game/effectmanager.go:298.2,298.10 1 0
goldbox-rpg/pkg/game/effectmanager.go:312.44,313.12 1 0
goldbox-rpg/pkg/game/effectmanager.go:314.65,315.14 1 0
goldbox-rpg/pkg/game/effectmanager.go:316.10,317.15 1 0
goldbox-rpg/pkg/game/effectmanager.go:341.68,343.44 1 0
goldbox-rpg/pkg/game/effectmanager.go:343.44,344.35 1 0
goldbox-rpg/pkg/game/effectmanager.go:344.35,345.11 1 0
goldbox-rpg/pkg/game/effectmanager.go:346.38,348.15 2 0
